ID,Language,Concept,Form
1685,Su,NEW,wisam
1686,Ul,NEW,bata:ka
1687,Mi,NEW,raja
1688,Pa,NEW,wàjʔkà
1689,Ra,NEW,abi:sa
1690,Gua,NEW,ɬa:ŋalu:ɾi
1691,Bor,NEW,kìnká
1692,Bri,NEW,pã̌ã̀ɺĩ̀
1693,Cab,NEW,spã́'nã̀
1694,Te,NEW,tàgɺɪ́ŋ
1695,Mo,NEW,mɣtɣ
1696,Bor,NEW,hageɾe
1697,Dor,NEW,ponol
1698,Cu,NEW,pi:ni
1699,Co,NEW,a'bisa
1700,Ica,NEW,a'bitti
1701,Da,NEW,ambɨ'si
1702,Chi,NEW,'takkeʔ
1703,Mu,NEW,βihitsa
1704,Tun,NEW,'ibsoja
1705,Ba,NEW,okdo
1706,LS,HEAR,eni
1707,LH,HEAR,en
1708,Ca,HEAR,ara
1709,Su,HEAR,daka
1710,Ul,HEAR,daka
1711,Mi,HEAR,wal
1712,Pa,HEAR,weʃ
1713,Ra,HEAR,alkuk
1714,Gua,HEAR,tai:ki
1715,Bor,HEAR,dóxk
1716,Bri,HEAR,stsɪ
1717,Cab,HEAR,ksɪ
1718,Te,HEAR,kúk
1719,Mo,HEAR,nu
1720,Bor,HEAR,tʃuge
1721,Dor,HEAR,tuktá
1722,Cu,HEAR,itto
1723,Co,HEAR,'nuk
1724,Ica,HEAR,'noʔkw
1725,Da,HEAR,nɨh'kwa
1726,Chi,HEAR,nok
1727,Mu,HEAR,nɨpkua
1728,Tun,HEAR,ɾaʔ
1729,Ba,HEAR,ana:
1730,LS,EYE,sap
1731,LH,EYE,sarin
1732,Ca,EYE,kunn
1733,Su,EYE,makpa
1734,Ul,EYE,makdaka
1735,Mi,EYE,nakra
1736,Pa,EYE,wà
1737,Ra,EYE,up
1738,Gua,EYE,ɸiɬi
1739,Bor,EYE,kàʔíʃ kúb
1740,Bri,EYE,uʊ́baɺà
1741,Cab,EYE,uʊ́baɺà
1742,Te,EYE,bòkuò
1743,Mo,EYE,okwɔ
1744,Bor,EYE,gwagwa
1745,Dor,EYE,okó
1746,Cu,EYE,ipia
1747,Co,EYE,'uba
1748,Ica,EYE,'umɨ
1749,Da,EYE,uma
1750,Chi,EYE,wa:kwa
1751,Mu,EYE,upkua
1752,Tun,EYE,'uba
1753,Ba,EYE,o:
1754,LS,SMELL,ʃuʃi
1755,LH,SMELL,suis
1756,Ca,SMELL,alawa
1757,Su,SMELL,walap
1758,Ul,SMELL,um
1759,Mi,SMELL,kja wal
1760,Pa,SMELL,õ̀h
1761,Ra,SMELL,ŋu:k
1762,Gua,SMELL,u:ɬa
1763,Bor,SMELL,súk
1764,Bri,SMELL,aɺá stsɪ
1765,Cab,SMELL,haɺa ssɪ
1766,Te,SMELL,ɺoʃík
1767,Mo,SMELL,ɾɔse
1768,Bor,SMELL,ɲáhwẽ
1769,Dor,SMELL,
1770,Cu,SMELL,u
1771,Co,SMELL,'hungu
1772,Ica,SMELL,ɾeʔbuss
1773,Da,SMELL,nɨkɨnatuʒi
1774,Chi,SMELL,'mo:
1775,Mu,SMELL,mɨskɨ
1776,Tun,SMELL,'ina jah
1777,Ba,SMELL,atu
1778,LS,EAR,tokoro
1779,LH,EAR,jaN
1780,Ca,EAR,tupa
1781,Su,EAR,tapa
1782,Ul,EAR,tapa
1783,Mi,EAR,kjama
1784,Pa,EAR,sũh
1785,Ra,EAR,kuka:
1786,Gua,EAR,toko:
1787,Bor,EAR,kuágàx
1788,Bri,EAR,kukʊ́
1789,Cab,EAR,kukʊ́
1790,Te,EAR,kuòŋuó
1791,Mo,EAR,olo
1792,Bor,EAR,olo
1793,Dor,EAR,kugá
1794,Cu,EAR,uaja
1795,Co,EAR,'kuka
1796,Ica,EAR,'kukkwɨ
1797,Da,EAR,ku'kwa
1798,Chi,EAR,ku:saka
1799,Mu,EAR,kuhuka
1800,Tun,EAR,kuhka'ha
1801,Ba,EAR,kokti
1802,LS,FATHER,t'ani
1803,LH,FATHER,papa
1804,Ca,FATHER,wapa
1805,Su,FATHER,papaŋ
1806,Ul,FATHER,papaŋ
1807,Mi,FATHER,ajsa
1808,Pa,FATHER,tù:s
1809,Ra,FATHER,tuŋ
1810,Gua,FATHER,sa
1811,Bor,FATHER,dʒèbèxt
1812,Bri,FATHER,dʒɪ̂
1813,Cab,FATHER,kákà
1814,Te,FATHER,kʰók
1815,Mo,FATHER,rɯ̃
1816,Bor,FATHER,ɲenu
1817,Dor,FATHER,su
1818,Cu,FATHER,papa
1819,Co,FATHER,'hate
1820,Ica,FATHER,'kakɨ
1821,Da,FATHER,ade
1822,At,FATHER,káke
1823,Chi,FATHER,dʒiaw
1824,Mu,FATHER,paβa
1825,Tun,FATHER,te'ta
1826,Ba,FATHER,taikda
1827,LS,SMALL,ts'iriʃki
1828,LH,SMALL,pori
1829,Ca,SMALL,tʃiki
1830,Su,SMALL,bini
1831,Ul,SMALL,baka
1832,Mi,SMALL,sirpi
1833,Pa,SMALL,jéʔ
1834,Ra,SMALL,suksuk
1835,Gua,SMALL,noko:tʃa:
1836,Bor,SMALL,ìstàmúɾá
1837,Bri,SMALL,tsǐd
1838,Cab,SMALL,dʒuɺɪ́ɺà
1839,Te,SMALL,tíɾà
1840,Mo,SMALL,tʃi
1841,Bor,SMALL,soli
1842,Dor,SMALL,chital
1843,Cu,SMALL,tottokwa
1844,Co,SMALL,'nanguze
1845,Ica,SMALL,in'gɨkawa
1846,Da,SMALL,'akwia
1847,Chi,SMALL,'dissu'tuʔ
1848,Mu,SMALL,inɣe tsunɣa
1849,Tun,SMALL,'konuɾo
1850,Ba,SMALL,baku
1851,LS,DOG,ʃuʃu
1852,LH,DOG,suj
1853,Ca,DOG,alu
1854,Su,DOG,sulu
1855,Ul,DOG,sulu
1856,Mi,DOG,jul
1857,Pa,DOG,ʃúʃù
1858,Ra,DOG,tausuŋ
1859,Gua,DOG,au:si
1860,Bor,DOG,àúx
1861,Bri,DOG,tʃítʃì
1862,Cab,DOG,tʃítʃì
1863,Te,DOG,ʃíʃì
1864,Mo,DOG,nu
1865,Bor,DOG,to
1866,Dor,DOG,bilo
1867,Cu,DOG,atʃu
1868,Co,DOG,'pio
1869,Ica,DOG,'peɾɨ
1870,Da,DOG,kɨnsi
1871,Chi,DOG,pe:kɾu
1872,Mu,DOG,to
1873,Tun,DOG,'bajaɾa
1874,Ba,DOG,nunaba.
1875,LS,HEAVY,t'ili
1876,LH,HEAVY,tiliba
1877,Ca,HEAVY,wim
1878,Su,HEAVY,tihni
1879,Ul,HEAVY,ti:ka
1880,Mi,HEAVY,wira
1881,Pa,HEAVY,tè na
1882,Ra,HEAVY,
1883,Gua,HEAVY,taikɬaka: ipiki:teŋe:
1884,Bor,HEAVY,tsìsóŋ
1885,Bri,HEAVY,ẽ̂xkẽ̌
1886,Cab,HEAVY,kidíi
1887,Te,HEAVY,kuíŋ
1888,Mo,HEAVY,dɔbɔgɔ
1889,Bor,HEAVY,gaba
1890,Dor,HEAVY,
1891,Cu,HEAVY,ukkusuli
1892,Co,HEAVY,matʃu ak'ze
1893,Ica,HEAVY,mɨaʔ'zɨna
1894,Da,HEAVY,gɨ anʒɨnga
1895,Chi,HEAVY,'dikkoʔ
1896,Mu,HEAVY,βihitsko
1897,Tun,HEAVY,si'naɾa
1898,Ba,HEAVY,a:bani.
1899,LS,FISH,ʃok'in
1900,LH,FISH,sua
1901,Ca,FISH,jal
1902,Su,FISH,was padini
1903,Ul,FISH,was padika
1904,Mi,FISH,inska
1905,Pa,FISH,ùʃã̀
1906,Ra,FISH,salpka
1907,Gua,FISH,muɬu:
1908,Bor,FISH,ùŋ
1909,Bri,FISH,dibã́
1910,Cab,FISH,dibã̀
1911,Te,FISH,mà
1912,Mo,FISH,gwa
1913,Bor,FISH,ŋwe
1914,Dor,FISH,kisi
1915,Cu,FISH,ua
1916,Co,FISH,ũa
1917,Ica,FISH,'wakɨ
1918,Da,FISH,waka
1919,Chi,FISH,wa:ŋgɾa:ʔ
1920,Mu,FISH,ɣua
1921,Tun,FISH,'ɾiʔ 'ɾuwa
1922,Ba,FISH,tai.
1923,LS,FOOT,waʃaka
1924,LH,FOOT,gwal
1925,Ca,FOOT,si'lin
1926,Su,FOOT,kal
1927,Ul,FOOT,kal
1928,Mi,FOOT,mina
1929,Pa,FOOT,tàh
1930,Ra,FOOT,ka:t
1931,Gua,FOOT,ɬo:ki tʃa:
1932,Bor,FOOT,kùɾáskuà
1933,Bri,FOOT,kaɺʊ́
1934,Cab,FOOT,kaɺʊ́
1935,Te,FOOT,ʃkóŋ
1936,Mo,FOOT,ŋoto
1937,Bor,FOOT,seɾa
1938,Dor,FOOT,ser
1939,Cu,FOOT,naka
1940,Co,FOOT,kasa
1941,Ica,FOOT,'kəttɨ
1942,Da,FOOT,kɨ'sa
1943,Chi,FOOT,ka:sa
1944,Mu,FOOT,kihitʲa
1945,Tun,FOOT,'kesa
1946,Ba,FOOT,kihtu:
1947,LS,STONE,ke
1948,LH,STONE,ke
1949,Ca,STONE,apa
1950,Su,STONE,ki
1951,Ul,STONE,ki
1952,Mi,STONE,walpa
1953,Pa,STONE,sàʔ
1954,Ra,STONE,ŋali:ŋ
1955,Gua,STONE,oktaɾa:
1956,Bor,STONE,káŋ
1957,Bri,STONE,âk
1958,Cab,STONE,hák
1959,Te,STONE,àk
1960,Mo,STONE,hɔ
1961,Bor,STONE,ke
1962,Dor,STONE,agá
1963,Cu,STONE,akkwa
1964,Co,STONE,'hagi
1965,Ica,STONE,'aʔnɨ
1966,Da,STONE,ɨgina
1967,Chi,STONE,kɾe:kakwi
1968,Mu,STONE,hɨka
1969,Tun,STONE,a'ka
1970,Ba,STONE,ã:
1971,LS,LEG,pos
1972,LH,LEG,kila
1973,Ca,LEG,sulm
1974,Su,LEG,barahmak
1975,Ul,LEG,kalba
1976,Mi,LEG,kuhma
1977,Pa,LEG,kapù:k
1978,Ra,LEG,tukwa
1979,Gua,LEG,ɬo:ki ko:ɾa
1980,Bor,LEG,bùsíx
1981,Bri,LEG,kaɺʊ́ kitʃà
1982,Cab,LEG,kaɺʊ́ kitʃà
1983,Te,LEG,kuóɾbò
1984,Mo,LEG,ŋɯɾe
1985,Bor,LEG,seɾagda
1986,Dor,LEG,séɾgala
1987,Cu,LEG,naimali
1988,Co,LEG,kala
1989,Ica,LEG,kánë
1990,Da,LEG,kɨna
1991,Chi,LEG,dukkwa
1992,Mu,LEG,ɣoka
1993,Tun,LEG,kus'kaɾa
1994,Ba,LEG,binĩ
1995,LS,FLEA,tem
1996,LH,FLEA,tem
1997,Ca,FLEA,ru
1998,Su,FLEA,u:bak
1999,Ul,FLEA,u:bak
2000,Mi,FLEA,kũa
2001,Pa,FLEA,ù:
2002,Ra,FLEA,kuŋ
2003,Gua,FLEA,ku:
2004,Bor,FLEA,kuá
2005,Bri,FLEA,kṹ
2006,Cab,FLEA,kṹ
2007,Te,FLEA,kʰṹŋ
2008,Mo,FLEA,kɯ̃
2009,Bor,FLEA,kũ
2010,Dor,FLEA,kũ
2011,Cu,FLEA,ku:
2012,Co,FLEA,ku'i
2013,Ica,FLEA,ku
2014,Da,FLEA,sanze
2015,Chi,FLEA,ku:
2016,Mu,FLEA,kue
2017,Tun,FLEA,'kuɾia
2018,Ba,FLEA,ku
2019,LS,FEATHER,ʃumah
2020,LH,FEATHER,suk
2021,Ca,FEATHER,diju
2022,Su,FEATHER,butu
2023,Ul,FEATHER,butu
2024,Mi,FEATHER,taja
2025,Pa,FEATHER,ṹs
2026,Ra,FEATHER,a:bak
2027,Gua,FEATHER,i:ɬa
2028,Bor,FEATHER,ká
2029,Bri,FEATHER,kʊ́
2030,Cab,FEATHER,kʊ́
2031,Te,FEATHER,zók
2032,Mo,FEATHER,kɔ
2033,Bor,FEATHER,ga
2034,Dor,FEATHER,shũl
2035,Cu,FEATHER,apsala
2036,Co,FEATHER,gala
2037,Ica,FEATHER,'kwi
2038,Da,FEATHER,dungɨɾa
2039,Chi,FEATHER,ga:
2040,Mu,FEATHER,ɣaka
2041,Tun,FEATHER,ana'ɾa
2042,Ba,FEATHER,ãtĩ
2043,LS,FEW,tʃ'iNkira
2044,LH,FEW,suntia
2045,Ca,FEW,dambaja
2046,Su,FEW,wajaki
2047,Ul,FEW,wajakiki
2048,Mi,FEW,ria
2049,Pa,FEW,pò:kmã̀jh
2050,Ra,FEW,paŋsak baik
2051,Gua,FEW,epe:me taikɬaka:
2052,Bor,FEW,dòdʒéŋ
2053,Bri,FEW,uã̂uã̂d
2054,Cab,FEW,hũã́hũã́dã̀ɺà
2055,Te,FEW,tíɾàksò
2056,Mo,FEW,bɾaibe
2057,Bor,FEW,bedre
2058,Dor,FEW,hebbil
2059,Cu,FEW,itʃekwa
2060,Co,FEW,nauan'gaba
2061,Ica,FEW,in'gɨ
2062,Da,FEW,'ungwɨzi
2063,Chi,FEW,di:saʔaʔsu
2064,Mu,FEW,hitʲɨkɨ
2065,Tun,FEW,'konua
2066,Ba,FEW,kobakkani.
2067,LS,WHAT,kas
2068,LH,WHAT,kari
2069,Ca,WHAT,pi
2070,Su,WHAT,di
2071,Ul,WHAT,di
2072,Mi,WHAT,dia
2073,Pa,WHAT,ĩ́
2074,Ra,WHAT,ja:kal
2075,Gua,WHAT,oro:ki
2076,Bor,WHAT,í
2077,Bri,WHAT,í
2078,Cab,WHAT,hìdʊ́
2079,Te,WHAT,ʒɪ̀
2080,Mo,WHAT,geɾe
2081,Bor,WHAT,dʒema
2082,Dor,WHAT,ee
2083,Cu,WHAT,ipi
2084,Co,WHAT,hi
2085,Ica,WHAT,'inɨ
2086,Da,WHAT,ni
2087,Chi,WHAT,ki:ɾi
2088,Mu,WHAT,ipkua
2089,Tun,WHAT,'ikuɾ
2090,Ba,WHAT,aibi
2091,LS,LAUGH,jolo
2092,LH,LAUGH,jol
2093,Ca,LAUGH,isnawa
2094,Su,LAUGH,aɾa
2095,Ul,LAUGH,kawaɾa
2096,Mi,LAUGH,kik
2097,Pa,LAUGH,aɾkõ̀h
2098,Ra,LAUGH,kulk
2099,Gua,LAUGH,oi:
2100,Bor,LAUGH,ʃìt
2101,Bri,LAUGH,adʒĩ
2102,Cab,LAUGH,hadʒẽ
2103,Te,LAUGH,háɾ
2104,Mo,LAUGH,kɯdɯ
2105,Bor,LAUGH,gidate
2106,Dor,LAUGH,"ayig, ahiása"
2107,Cu,LAUGH,all
2108,Co,LAUGH,'ʃimihĩ
2109,Ica,LAUGH,'sem
2110,Da,LAUGH,ʒiʃim
2111,Chi,LAUGH,ha:ɾa
2112,Mu,LAUGH,ɣɨua
2113,Tun,LAUGH,si'si
2114,Ba,LAUGH,an
2115,LS,RED,wesaN
2116,LH,RED,sewla
2117,Ca,RED,lala
2118,Su,RED,pawni
2119,Ul,RED,pawka
2120,Mi,RED,pawni
2121,Pa,RED,pã́wã̀
2122,Ra,RED,sa:la
2123,Gua,RED,kata:ɬiŋ iŋa:
2124,Bor,RED,dɾùbát
2125,Bri,RED,bã̌tk
2126,Cab,RED,batsɪ́
2127,Te,RED,sɾɪ̀ɾɪ́n
2128,Mo,RED,tãĩ
2129,Bor,RED,dabeɾe
2130,Dor,RED,kol
2131,Cu,RED,kinnitti
2132,Co,RED,atsuʃi
2133,Ica,RED,ziʔ
2134,Da,RED,ɨnzisi
2135,Chi,RED,kɾo:
2136,Mu,RED,hiiso
2137,Tun,RED,bu'wajɾo
2138,Ba,RED,tukdaɲou
2139,LS,CLOTHES,lamtara
2140,LH,CLOTHES,loronina
2141,Ca,CLOTHES,siwa
2142,Su,CLOTHES,asna
2143,Ul,CLOTHES,asna
2144,Mi,CLOTHES,kwala
2145,Pa,CLOTHES,tùnùk
2146,Ra,CLOTHES,kalma
2147,Gua,CLOTHES,tio:ka
2148,Bor,CLOTHES,kúʔʃì
2149,Bri,CLOTHES,datsǐʔ
2150,Cab,CLOTHES,datsí
2151,Te,CLOTHES,ʃuóŋ
2152,Mo,CLOTHES,dɔ̃
2153,Bor,CLOTHES,ɲometɾa
2154,Dor,CLOTHES,ákubi
2155,Cu,CLOTHES,mola
2156,Co,CLOTHES,ʒaku'a
2157,Ica,CLOTHES,mákë
2158,Da,CLOTHES,mɨkɨ 'sala
2159,Chi,CLOTHES,'gwaʔŋaʔ
2160,Mu,CLOTHES,βoi
2161,Tun,CLOTHES,'oja
2162,Ba,CLOTHES,duksa
2163,LS,KNOW,ti
2164,LH,KNOW,tis
2165,Ca,KNOW,bi
2166,Su,KNOW,daka
2167,Ul,KNOW,kaŋla:wa
2168,Mi,KNOW,nu
2169,Pa,KNOW,àɾíɾ
2170,Ra,KNOW,ŋwa
2171,Gua,KNOW,uɾa:xe
2172,Bor,KNOW,uí
2173,Bri,KNOW,uxtʃẽ
2174,Cab,KNOW,hudʒẽ
2175,Te,KNOW,hmídɪ̀
2176,Mo,KNOW,gaɾe
2177,Bor,KNOW,uɲe
2178,Dor,KNOW,
2179,Cu,KNOW,wisi
2180,Co,KNOW,akʃihi
2181,Ica,KNOW,a'gənkw
2182,Da,KNOW,agönihku
2183,Chi,KNOW,wi
2184,Mu,KNOW,mukan
2185,Tun,KNOW,is'ti
2186,Ba,KNOW,ka:ma.
2187,LS,SALT,ts'epe
2188,LH,SALT,sepe
2189,Ca,SALT,jabulu
2190,Su,SALT,kuma
2191,Ul,SALT,kuma
2192,Mi,SALT,sal
2193,Pa,SALT,tàkè
2194,Ra,SALT,tauli
2195,Gua,SALT,ti: karu:
2196,Bor,SALT,kí
2197,Bri,SALT,dadʒɪ́
2198,Cab,SALT,dadʒɪ̀
2199,Te,SALT,dɺúŋ
2200,Mo,SALT,mɾẽ
2201,Bor,SALT,tʃo
2202,Dor,SALT,báli
2203,Cu,SALT,palu
2204,Co,SALT,naku
2205,Ica,SALT,'nəggwɨ
2206,Da,SALT,nɨngu
2207,Chi,SALT,'no:ʔmarinda
2208,Mu,SALT,nɨgua
2209,Tun,SALT,'ɾauwa
2210,Ba,SALT,sabi
2211,LS,BLOOD,ala
2212,LH,BLOOD,wek
2213,Ca,BLOOD,aru
2214,Su,BLOOD,a:
2215,Ul,BLOOD,a:was
2216,Mi,BLOOD,tala
2217,Pa,BLOOD,ù:ɾì
2218,Ra,BLOOD,aiɾbi:
2219,Gua,BLOOD,li:
2220,Bor,BLOOD,dʒìbí
2221,Bri,BLOOD,apɪ̂
2222,Cab,BLOOD,pí
2223,Te,BLOOD,sɾɪ́ŋ
2224,Mo,BLOOD,dɔɾi
2225,Bor,BLOOD,be
2226,Dor,BLOOD,havé
2227,Cu,BLOOD,ape
2228,Co,BLOOD,'abi
2229,Ica,BLOOD,dʒwa
2230,Da,BLOOD,ɨma
2231,Chi,BLOOD,'eŋŋaʔ
2232,Mu,BLOOD,ba
2233,Tun,BLOOD,'aba
2234,Ba,BLOOD,a:bi
2235,LS,DRY,tina
2236,LH,DRY,sawa
2237,Ca,DRY,sama
2238,Su,DRY,buhni
2239,Ul,DRY,buhka
2240,Mi,DRY,lawan
2241,Pa,DRY,a:ɾá:ni
2242,Ra,DRY,plu:sba
2243,Gua,DRY,tiɬa:xa
2244,Bor,DRY,tskènká
2245,Bri,DRY,pôppǒ
2246,Cab,DRY,pó
2247,Te,DRY,idógɺo
2248,Mo,DRY,nɣtaɾe
2249,Bor,DRY,ulen
2250,Dor,DRY,tolótkal
2251,Cu,DRY,tinna
2252,Co,DRY,aluhu'e
2253,Ica,DRY,'dʒomɨ
2254,Da,DRY,ʒita
2255,Chi,DRY,bɾo:nta
2256,Mu,DRY,βutʲua
2257,Tun,DRY,buɾa'buɾa
2258,Ba,DRY,bunũnĩ
2259,LS,SNAKE,amap
2260,LH,SNAKE,salala
2261,Ca,SNAKE,jara
2262,Su,SNAKE,bil
2263,Ul,SNAKE,di:muih
2264,Mi,SNAKE,pjẽta
2265,Pa,SNAKE,ìs
2266,Ra,SNAKE,a:lbut
2267,Gua,SNAKE,ɬala:ki
2268,Bor,SNAKE,tèbèk
2269,Bri,SNAKE,tkabɪ́
2270,Cab,SNAKE,tkabɪ̀
2271,Te,SNAKE,bugúɾ
2272,Mo,SNAKE,itʃa
2273,Bor,SNAKE,hoɾisi
2274,Dor,SNAKE,buli
2275,Cu,SNAKE,nakpe
2276,Co,SNAKE,'tagbi
2277,Ica,SNAKE,gwi'omɨ
2278,Da,SNAKE,guma
2279,Chi,SNAKE,'mannuʔ
2280,Mu,SNAKE,mɨso
2281,Ba,SNAKE,tidu
2282,Tun,SNAKE,kumoɾo'a
2283,LS,SUN,jaʃa
2284,LH,SUN,kasi
2285,Ca,SUN,lan
2286,Su,SUN,ma
2287,Ul,SUN,ma
2288,Mi,SUN,ju
2289,Pa,SUN,ã̀:
2290,Ra,SUN,alka
2291,Gua,SUN,to:xi
2292,Bor,SUN,kàk
2293,Bri,SUN,díuʊ̀
2294,Cab,SUN,kã́uʊ́
2295,Te,SUN,dɺò
2296,Mo,SUN,ɲɔnɔ
2297,Bor,SUN,tʃwi
2298,Dor,SUN,kerél
2299,Cu,SUN,tata
2300,Co,SUN,'niui
2301,Ica,SUN,dʒwi
2302,Da,SUN,'dʒui
2303,Chi,SUN,'diŋŋaʔ
2304,Mu,SUN,sua
2305,Tun,SUN,'raʔsa
2306,Ba,SUN,nia:
2307,LS,BREAST,ts'ukiN
2308,LH,BREAST,palaN
2309,Ca,BREAST,sum
2310,Su,BREAST,ta
2311,Ul,BREAST,ta
2312,Mi,BREAST,tjalka
2313,Pa,BREAST,tútú
2314,Ra,BREAST,ka:ŋali:
2315,Gua,BREAST,ko:ɾi
2316,Bor,BREAST,kàʔ
2317,Bri,BREAST,tsǔʔ
2318,Cab,BREAST,tsú
2319,Te,BREAST,nókuò
2320,Mo,BREAST,kẽã
2321,Bor,BREAST,tusú
2322,Dor,BREAST,nõ
2323,Cu,BREAST,nu:
2324,Co,BREAST,su'mi
2325,Ica,BREAST,tu
2326,Da,BREAST,'tudu
2327,Chi,BREAST,ka:ʔ
2328,Mu,BREAST,tʲue
2329,Tun,BREAST,su'ta
2330,Ba,BREAST,tu
2331,LS,EARTH (SOIL),omoN
2332,LH,EARTH (SOIL),lum
2333,Ca,EARTH (SOIL),duru
2334,Su,EARTH (SOIL),saw
2335,Ul,EARTH (SOIL),saw
2336,Mi,EARTH (SOIL),tasba
2337,Pa,EARTH (SOIL),kúk
2338,Ra,EARTH (SOIL),taki
2339,Gua,EARTH (SOIL),laka:
2340,Bor,EARTH (SOIL),táb
2341,Bri,EARTH (SOIL),ídʒʊ̀k
2342,Cab,EARTH (SOIL),hĩʃkʊ́
2343,Te,EARTH (SOIL),kɺúŋ
2344,Mo,EARTH (SOIL),dɔbrɔ
2345,Bor,EARTH (SOIL),dbi
2346,Dor,EARTH (SOIL),íri
2347,Cu,EARTH (SOIL),nappa
2348,Co,EARTH (SOIL),'kagi
2349,Ica,EARTH (SOIL),'kaʔa
2350,Da,EARTH (SOIL),kɨngɨma
2351,Chi,EARTH (SOIL),'itti
2352,Mu,EARTH (SOIL),histʲa
2353,Tun,EARTH (SOIL),'kahka
2354,Ba,EARTH (SOIL),istã
2355,LS,THREE,lawa
2356,LH,THREE,lawa
2357,Ca,THREE,watba
2358,Su,THREE,bas
2359,Ul,THREE,bas
2360,Mi,THREE,jumhpa
2361,Pa,THREE,mã́jh
2362,Ra,THREE,paŋsak
2363,Gua,THREE,poi:kiri:
2364,Bor,THREE,máŋ
2365,Bri,THREE,badʒã
2366,Cab,THREE,badʒã
2367,Te,THREE,miá
2368,Mo,THREE,mɔ
2369,Bor,THREE,mai
2370,Dor,THREE,mas
2371,Cu,THREE,pa:
2372,Co,THREE,'maigua
2373,Ica,THREE,'maikənɨ
2374,Da,THREE,maigwa
2375,Chi,THREE,ma:hna
2376,Mu,THREE,mika
2377,Tun,THREE,'baja
2378,Ba,THREE,miktentɨkou
2379,LS,GUTS,maNʃuli
2380,LH,GUTS,maNsuliN
2381,Ca,GUTS,jusilin
2382,Su,GUTS,ba
2383,Ul,GUTS,ba
2384,Mi,GUTS,bjara
2385,Pa,GUTS,áʔsábɾìs
2386,Ra,GUTS,uɾmut sukŋuaŋ
2387,Gua,GUTS,ko: ki:ra
2388,Bor,GUTS,ʃuàʔ
2389,Bri,GUTS,dʒã̂ stsè
2390,Cab,GUTS,dʒã́ batʃiɺí
2391,Te,GUTS,ʒàkógɺo
2392,Mo,GUTS,ŋɔ̃gɾɔ
2393,Bor,GUTS,hẽgɾa
2394,Dor,GUTS,koɾegol
2395,Cu,GUTS,saki
2396,Co,GUTS,ganukʃiʒa
2397,Ica,GUTS,ga'siɾo
2398,Da,GUTS,gaʒina
2399,Chi,GUTS,'kutti 'kwe:ɾiniʔ
2400,Mu,GUTS,tsimsua
2401,Tun,GUTS,buk'ʃiɾa
2402,Ba,GUTS,a:si
2403,LS,THOU,manani
2404,LH,THOU,amnan
2405,Ca,THOU,mani
2406,Su,THOU,man
2407,Ul,THOU,man
2408,Mi,THOU,man
2409,Pa,THOU,pa
2410,Ra,THOU,ma:
2411,Gua,THOU,po:
2412,Bor,THOU,bá
2413,Bri,THOU,běʔ
2414,Cab,THOU,bá
2415,Te,THOU,ɸà
2416,Mo,THOU,mɔ
2417,Bor,THOU,ba
2418,Dor,THOU,bá
2419,Cu,THOU,pe
2420,Co,THOU,ma
2421,Ica,THOU,ma
2422,Da,THOU,ma
2423,Chi,THOU,'amma
2424,Mu,THOU,mɨe
2425,Tun,THOU,'baʔa
2426,Ba,THOU,bai
2427,LS,ONE,pis
2428,LH,ONE,eta
2429,Ca,ONE,bas
2430,Su,ONE,as
2431,Ul,ONE,as
2432,Mi,ONE,kumi
2433,Pa,ONE,ás
2434,Ra,ONE,saimiŋ
2435,Gua,ONE,ana:katʃuma:
2436,Bor,ONE,éʔtsi
2437,Bri,ONE,e
2438,Cab,ONE,é
2439,Te,ONE,ɾa
2440,Mo,ONE,ti
2441,Bor,ONE,ite
2442,Dor,ONE,e
2443,Cu,ONE,kwenna
2444,Co,ONE,'ezua
2445,Ica,ONE,'inʔgwi
2446,Da,ONE,ingwi
2447,Chi,ONE,te
2448,Mu,ONE,ata
2449,Tun,ONE,'ubistia
2450,Ba,ONE,ĩtou.
2451,LS,YOU,kinani
2452,LH,YOU,ajnan
2453,Ca,YOU,maniwalhi
2454,Su,YOU,manna
2455,Ul,YOU,manna
2456,Mi,YOU,manani
2457,Pa,YOU,pahwa
2458,Ra,YOU,mulut
2459,Gua,YOU,po: maɾa:ma
2460,Bor,YOU,biʔ ɾóxk
2461,Bri,YOU,ǎʔ
2462,Cab,YOU,bás
2463,Te,YOU,ɸãĩ
2464,Mo,YOU,mũ
2465,Bor,YOU,bádre
2466,Dor,YOU,
2467,Cu,YOU,pemala
2468,Co,YOU,main
2469,Ica,YOU,'miwi
2470,Da,YOU,mawindina
2471,Chi,YOU,'ammaɾaʔ
2472,Mu,YOU,mie
2473,Tun,YOU,'ba
2474,Ba,YOU,biɲi
2475,LS,COME,po
2476,LH,COME,pu
2477,Ca,COME,ajra
2478,Su,COME,ajwa
2479,Ul,COME,ajwa
2480,Mi,COME,bal
2481,Pa,COME,tèʔk
2482,Ra,COME,si:k
2483,Gua,COME,toki:
2484,Bor,COME,dàbàk
2485,Bri,COME,dɪ
2486,Cab,COME,de
2487,Te,COME,ték
2488,Mo,COME,kite
2489,Bor,COME,tʃige
2490,Dor,COME,berik
2491,Cu,COME,take
2492,Co,COME,'naʃ
2493,Ica,COME,'nak
2494,Da,COME,nak
2495,At,COME,
2496,Chi,COME,hatta
2497,Mu,COME,nɨ
2498,Tun,COME,'beki
2499,Ba,COME,abãi
2500,LS,SEE,yot
2501,LH,SEE,is
2502,Ca,SEE,la
2503,Su,SEE,tal
2504,Ul,SEE,tal
